sal_code,pop
"2710185",194
"2710455",382
"2710493",415
"2710481",405
"2710186",194
"2710511",432
"2710138",160
"2710279",265
"2710618",549
"2710621",554
"2710495",417
"2710424",360
"2710598",529
"2710401",344
"2710340",311
"2710541",469
"2710361",322
"2710568",494
"2710548",475
"2710388",333
"2710430",364
"2710655",608
"2710708",766
"2710384",332
"2710494",416
"2710178",190
"2710539",463
"2710191",199
"2710413",354
"2710166",184
"2710327",301
"2710317",292
"2710219",223
"2710181",192
"2710542",470
"2710073",100
"2710488",410
"2710527",450
"2710324",299
"2710243",240
"2710082",116
"2710459",387
"2710490",412
